Comment,Designator,Footprint,JLCPCB Part #ï¼ˆoptional )
"22",1,"R_0805_2012Metric","C17561"
"D_Small",13,"D_SOD-123","C81598"
"0.1uF",14,"C_0805_2012Metric","C49678"
"330",15,"R_0805_2012Metric","C17630"
"SW_Push",16,"SKQG-1155865","C318884"
"1uF",17,"C_0805_2012Metric","C28323"
"10uF",18,"C_0805_2012Metric","C15850"
"Conn_01x04_MountingPin",19,"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C160404"
"10k",20,"R_0805_2012Metric","C17414"
"ATmega32U4-AU",21,"TQFP-44_10x10mm_P0.8mm","C44854"
"16MHz",22,"Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
"22pF",23,"C_0805_2012Metric","C1804"
